STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00041253,"CACHUMA LAKE, CA US",1952-12-28,,,0.27,0,0,56,36,40
USC00041253,"CACHUMA LAKE, CA US",1952-12-29,,,0,0,0,56,30,34
USC00041253,"CACHUMA LAKE, CA US",1952-12-30,,,1.02,0,0,60,31,48
USC00041253,"CACHUMA LAKE, CA US",1952-12-31,,,0.08,0,0,49,38,40
USC00041253,"CACHUMA LAKE, CA US",1953-01-01,,,0,0,0,53,28,31
USC00041253,"CACHUMA LAKE, CA US",1953-01-02,,,0,0,0,62,30,35
USC00041253,"CACHUMA LAKE, CA US",1953-01-03,,,0,0,0,66,35,45
USC00041253,"CACHUMA LAKE, CA US",1953-01-04,,,0,0,0,73,39,47
USC00041253,"CACHUMA LAKE, CA US",1953-01-05,,,0,0,0,75,38,44
USC00041253,"CACHUMA LAKE, CA US",1953-01-06,,,0,0,0,69,43,49
USC00041253,"CACHUMA LAKE, CA US",1953-01-07,,,0.05,0,0,54,47,51
USC00041253,"CACHUMA LAKE, CA US",1953-01-08,,,0.05,0,0,58,50,54
USC00041253,"CACHUMA LAKE, CA US",1953-01-09,,,0,0,0,67,49,51
USC00041253,"CACHUMA LAKE, CA US",1953-01-10,,,0,0,0,71,42,44
USC00041253,"CACHUMA LAKE, CA US",1953-01-11,,,0,0,0,79,41,47
USC00041253,"CACHUMA LAKE, CA US",1953-01-12,,,0,0,0,77,47,49
USC00041253,"CACHUMA LAKE, CA US",1953-01-13,,,0.06,0,0,56,48,52
USC00041253,"CACHUMA LAKE, CA US",1953-01-14,,,0.89,0,0,53,44,45
USC00041253,"CACHUMA LAKE, CA US",1953-01-15,,,0.07,0,0,53,36,38
USC00041253,"CACHUMA LAKE, CA US",1953-01-16,,,0,0,0,62,29,31
USC00041253,"CACHUMA LAKE, CA US",1953-01-17,,,0,0,0,60,30,35
USC00041253,"CACHUMA LAKE, CA US",1953-01-18,,,0,0,0,60,35,41
USC00041253,"CACHUMA LAKE, CA US",1953-01-19,,,0,0,0,64,41,49
USC00041253,"CACHUMA LAKE, CA US",1953-01-20,,,0,0,0,65,46,49
USC00041253,"CACHUMA LAKE, CA US",1953-01-21,,,0,0,0,61,35,36
USC00041253,"CACHUMA LAKE, CA US",1953-01-22,,,0,0,0,63,31,38
USC00041253,"CACHUMA LAKE, CA US",1953-01-23,,,0,0,0,67,37,47
USC00041253,"CACHUMA LAKE, CA US",1953-01-24,,,0,0,0,79,41,49
USC00041253,"CACHUMA LAKE, CA US",1953-01-25,,,0,0,0,74,37,40
